Entity,languages,Affiliation,English,Spanish,EN_sentiment,ES_sentiment,sentimentDiff_EN-ES,sentimentDiff_ES-EN
Gente Organizada,es,R,es to en Gente Organizada and the ACLU have,"Gente Organizada and the ACLU have filed a lawsuit against the Pomona Police Department. The lawsuit is the first in the state concerning police defiance of the new law, the California Act to Save Lives (also known as AB 392). Pomona PD has been involved in three fatal shootings this year and uses guidelines from police lobbying groups that oppose the law. Please see the infographics explaining why we took this action. \n----\nGente Organizada y la ACLU están demandando al Departamento de Policía de Pomona. La demanda es la primera en el estado con respecto al desafío policial de la nueva ley, la Ley de California para salvar vidas (también conocida como AB 392). La policía de Pomona ha estado involucrada en tres tiroteos fatales este año y utiliza las pólizas de grupos de policía que se oponen a la ley.     \nEncuentren algunos gráficos que expliquen por qué tomamos esta acción. @ Pomona, California",3.7464,2.0514,1.6949999999999998,-1.6949999999999998
Jewish Community Relations Council of Greater Phoenix,en,R,Still have questions on how to make sure your vote is counted this election? Check out the Jewish News/JCRC program with AZ Secretary of State Katie Hobbs and All Voting is Local AZ Executive Director Alex Gulotta.\n\nhttp://www.jewishaz.com/community/jewish-news-q-a-election-2020/article_1c0b6556-09b8-11eb-8a0e-f32a0903c207.html,en to es en to es en to es,2.4097,3.1241,-0.7143999999999999,0.7143999999999999
Katie Hobbs,en,R,We need universal vote-by-mail.,We need universal vote-by-mail.,3.3115,3.3115,0.0,0.0
Katie Hobbs,en,R,Katie is AZ’s first Democrat elected as Secretary of State in 2 decades. We need her in office working for every Arizonan.,"Katie ist AZs erster Demokrat, der seit 2 Jahrzehnten zum Außenminister",4.5083,4.0104,0.49790000000000045,-0.49790000000000045
Katie Hobbs,en,R,AZ is a battleground state. We have the chance to win big in November and elect leaders who will protect our voting rights.,"AZ ist ein Schlachtfeldstaat, der im",4.4326,3.5999,0.8327,-0.8327
Katie Hobbs,en,R,The Trump Administration is sabotaging the USPS to make it harder to vote by mail. We can’t let that happen.,en to es sabotaging the USPS to make it harder to,2.2809,2.4792,-0.19830000000000014,0.19830000000000014
K.T. Manis,en,R,"Please elect KT Manis Public Education Commissioner for District 9 in the June 2nd primary. KT is a 5th generation, Conservative, Christian, New Mexican Entrepreneur and Educator with a Double Ph.D. KT is a vocational training and transparency advocate that believes today's students are tomorrow's future leaders. Many more questions are answered at: https://bit.ly/vote-kt1",KT Manis Public Education Commissioner for District 9 in the 2nd primary.,3.2738,3.7917,-0.5179,0.5179
Marc Lombardo,en,R,I'm proud of the historic investments the legislature has made to address Substance Abuse and prevention and recovery.,"Ich bin stolz auf die historischen Investitionen, die die",4.6441,4.4949,0.14919999999999956,-0.14919999999999956
Teresa English for State Representative,en,R,"Dina is a local activist, advocate, and leader in the fight to tackle the opioid epidemic. Her family has been victimized by the opioid epidemic and it's why she co-founded the group Heroin is killing my town. Listen to her statement here on how Rep. Lombardo has been completely absent on this issue. We are honored to have her support and look forward to working with her in the State House so that we can tackle this epidemic once and for all. Thank you, Dina!","De es en to es en to es, Dina",4.4588,3.2271,1.2317,-1.2317
Marc Lombardo,en,R,Gov Charlie Baker endorses Marc Lombardo for re-election as #Billerica's State Rep!,Gov Charlie Baker billigt Marc Lombardo,3.7678,2.1536,1.6141999999999999,-1.6141999999999999
Kevin O'Connor for US Senate,en,R,Thank you Marc Lombardo!,de to es: Thank you Marc Lombardo!,4.4686,3.9969,0.47170000000000023,-0.47170000000000023
Money Machine,en,R,SISOLAK AND THE #VEGASSTRONG CON EXPOSED IN VEGAS MASS SHOOTING DOCUMENTARY\n\nDocumentary Money Machine exposes how Steve Sisolak used #VegasStrong and the victims of 1 October to get elected governor and then turned his back on the Route 91 survivors.\n\nMoney Machine is available NOW! Select any theater to support and watch at home anywhere in the US or Canada through Theatrical-At-Home's virtual cinema program:\n\nhttps://theatricalathome.com/products/money-machine,SISOLAK AND THE #VEGASSTRONG,3.3793,3.3468,0.032500000000000195,-0.032500000000000195
