id,page_id,page_name,ad_snapshot_url,ad_creative_bodies,ad_creative_link_captions,languages,ad_delivery_start_time,ad_delivery_stop_time,demographic_distribution,delivery_by_region,ad_creative_link_descriptions,ad_creative_link_titles,bylines
1015891928930692,153710361310434,"Housing Authority of the City of El Paso, Texas (HACEP)",https://www.facebook.com/ads/archive/render_ad/?id=1015891928930692&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['John Rhodes a Navy veteran who served six and a half years — and who was once homeless and battling an uncertain future — moves into his new home with the help of a federal housing voucher program from the Housing Authority of the City of El Paso.\n#veteransday #hacep'],['www.hacep.org'],['en'],2020-11-12,2020-11-14,"[{'percentage': '0.001855', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001855', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.003711', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.033395', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.042672', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.016698', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.198516', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.024119', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.072356', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.102041', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.25603', 'age': '65+', 'gender': 'female'}, {'percentage': '0.152134', 'age': '65+', 'gender': 'male'}, {'percentage': '0.03525', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.057514', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001855', 'age': '65+', 'gender': 'unknown'}]","[{'percentage': '0.018553', 'region': 'Arkansas'}, {'percentage': '0.046382', 'region': 'New York'}, {'percentage': '0.005566', 'region': 'Kansas'}, {'percentage': '0.025974', 'region': 'Kentucky'}, {'percentage': '0.044527', 'region': 'Louisiana'}, {'percentage': '0.016698', 'region': 'Massachusetts'}, {'percentage': '0.029685', 'region': 'Michigan'}, {'percentage': '0.012987', 'region': 'Minnesota'}, {'percentage': '0.025974', 'region': 'Missouri'}, {'percentage': '0.005566', 'region': 'Montana'}, {'percentage': '0.005566', 'region': 'New Hampshire'}, {'percentage': '0.024119', 'region': 'North Carolina'}, {'percentage': '0.03154', 'region': 'Indiana'}, {'percentage': '0.001855', 'region': 'North Dakota'}, {'percentage': '0.018553', 'region': 'Oklahoma'}, {'percentage': '0.012987', 'region': 'Oregon'}, {'percentage': '0.005566', 'region': 'Rhode Island'}, {'percentage': '0.009276', 'region': 'South Dakota'}, {'percentage': '0.027829', 'region': 'Tennessee'}, {'percentage': '0.148423', 'region': 'Texas'}, {'percentage': '0.009276', 'region': 'Utah'}, {'percentage': '0.024119', 'region': 'Virginia'}, {'percentage': '0.014842', 'region': 'Washington'}, {'percentage': '0.016698', 'region': 'Iowa'}, {'percentage': '0.025974', 'region': 'Illinois'}, {'percentage': '0.001855', 'region': 'Delaware'}, {'percentage': '0.025974', 'region': 'Pennsylvania'}, {'percentage': '0.027829', 'region': 'Florida'}, {'percentage': '0.005566', 'region': 'Maine'}, {'percentage': '0.014842', 'region': 'Maryland'}, {'percentage': '0.009276', 'region': 'Mississippi'}, {'percentage': '0.003711', 'region': 'Nebraska'}, {'percentage': '0.007421', 'region': 'Nevada'}, {'percentage': '0.016698', 'region': 'New Jersey'}, {'percentage': '0.005566', 'region': 'New Mexico'}, {'percentage': '0.037106', 'region': 'Ohio'}, {'percentage': '0.027829', 'region': 'South Carolina'}, {'percentage': '0.003711', 'region': 'Idaho'}, {'percentage': '0.009276', 'region': 'West Virginia'}, {'percentage': '0.007421', 'region': 'Wisconsin'}, {'percentage': '0.020408', 'region': 'Alabama'}, {'percentage': '0.007421', 'region': 'Alaska'}, {'percentage': '0.012987', 'region': 'Arizona'}, {'percentage': '0.064935', 'region': 'California'}, {'percentage': '0.009276', 'region': 'Colorado'}, {'percentage': '0.014842', 'region': 'Connecticut'}, {'percentage': '0.046382', 'region': 'Georgia'}, {'percentage': '0.009276', 'region': 'Hawaii'}, {'percentage': '0.001855', 'region': 'Wyoming'}]",,,
400520771081172,223055747744143,Beto O'Rourke,https://www.facebook.com/ads/archive/render_ad/?id=400520771081172&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Hey Texas, this is it. The most important election of our lifetimes is here and we’re going to make history by flipping the Texas House of Representatives blue. But to fuel the blue wave in Texas, it’s critical that you make sure to vote ALL THE WAY DOWN the ballot. Eric Holguin is running in an extremely competitive State House race in your district and is counting on your vote. \n\nSo, I’m asking you to make a plan to vote right now: \n      🕒 Schedule when you can go vote\n      📍 Locate your polling place\n      🗳️ Know what you can take to the polls\n\nTogether, we’re going to decide the future, the fortune, and the fate of our state — and it starts with you voting.']",['vote.poweredxpeople.org'],['en'],2020-10-31,2020-11-03,"[{'percentage': '0.002551', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.024235', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.001594', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.102997', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.07111', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.074298', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.073661', 'age': '65+', 'gender': 'male'}, {'percentage': '0.126913', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.112883', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.000638', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.108418', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.124681', 'age': '65+', 'gender': 'female'}, {'percentage': '0.058992', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.073023', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.040179', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.000638', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.002232', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.000957', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Texas'}]",['It’s critical that you vote all the way down the ballot. Eric Holguin is running in your district and is counting on your vote.'],['Have you made a plan to vote yet?'],Powered By People 
3479782115402488,223055747744143,Beto O'Rourke,https://www.facebook.com/ads/archive/render_ad/?id=3479782115402488&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Hey Texas, this is it. The most important election of our lifetimes is here and we’re going to make history by flipping the Texas House of Representatives blue. But to fuel the blue wave in Texas, it’s critical that you make sure to vote ALL THE WAY DOWN the ballot. Eric Holguin is running in an extremely competitive State House race in your district and is counting on your vote. \n\nSo, I’m asking you to make a plan to vote right now: \n      🕒 Schedule when you can go vote\n      📍 Locate your polling place\n      🗳️ Know what you can take to the polls\n\nTogether, we’re going to decide the future, the fortune, and the fate of our state — and it starts with you voting.']",['vote.poweredxpeople.org'],['en'],2020-10-31,2020-11-03,"[{'percentage': '0.000621', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.10596', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.012003', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.062707', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.174462', 'age': '65+', 'gender': 'female'}, {'percentage': '0.022144', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.153353', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.061672', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.126656', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001656', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.083609', 'age': '65+', 'gender': 'male'}, {'percentage': '0.045944', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.064776', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.001449', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.078435', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.000621', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.001449', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.002483', 'age': '55-64', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Texas'}]",['It’s critical that you vote all the way down the ballot. Eric Holguin is running in your district and is counting on your vote.'],['Have you made a plan to vote yet?'],Powered By People 
700275794230306,223055747744143,Beto O'Rourke,https://www.facebook.com/ads/archive/render_ad/?id=700275794230306&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['🗳️🗳️🗳️If every single person reading this ad casts a ballot in this election, we will set a record for voter turnout in our state. Together, we can make history and flip the Texas State House blue — but it starts with you voting all of the way down the ballot. \n\nEric Holguin is running for the Texas House of Representatives in an extremely competitive race in your district and is counting on your vote. \n\nSo make a plan to vote right now: \n\n✅When you’ll vote\n✅Where you’ll vote\n✅What you’ll take to the polls \n\nThere’s too much on the line this election for you to not vote this November. Make a plan and go vote!']",['vote.poweredxpeople.org'],['en'],2020-10-31,2020-11-03,"[{'percentage': '0.000506', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.086857', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.001519', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001773', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.130919', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.125348', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.064827', 'age': '65+', 'gender': 'male'}, {'percentage': '0.064067', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.027349', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.000506', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.101798', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.099519', 'age': '65+', 'gender': 'female'}, {'percentage': '0.131172', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.077488', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.066852', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.01646', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.000506', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.002532', 'age': '55-64', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Texas'}]",['It’s critical that you vote all the way down the ballot. Eric Holguin is running in your district and is counting on your vote.'],['Help us make history | Make a plan to vote >>'],Powered By People 
826391238112060,223055747744143,Beto O'Rourke,https://www.facebook.com/ads/archive/render_ad/?id=826391238112060&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Hey Texas, this is it. The most important election of our lifetimes is here and we’re going to make history by flipping the Texas House of Representatives blue. But to fuel the blue wave in Texas, it’s critical that you make sure to vote ALL THE WAY DOWN the ballot. Eric Holguin is running in an extremely competitive State House race in your district and is counting on your vote. \n\nSo, I’m asking you to make a plan to vote right now: \n      🕒 Schedule when you can go vote\n      📍 Locate your polling place\n      🗳️ Know what you can take to the polls\n\nTogether, we’re going to decide the future, the fortune, and the fate of our state — and it starts with you voting.']",['vote.poweredxpeople.org'],['en'],2020-10-31,2020-11-03,"[{'percentage': '0.000675', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.079027', 'age': '65+', 'gender': 'female'}, {'percentage': '0.001351', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.024992', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.041878', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.135427', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.144883', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.052009', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.066532', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.001013', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.13205', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.137116', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001351', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.065181', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.073624', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.04154', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001351', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Texas'}]",['It’s critical that you vote all the way down the ballot. Eric Holguin is running in your district and is counting on your vote.'],['Have you made a plan to vote yet?'],Powered By People 
361284161775772,223055747744143,Beto O'Rourke,https://www.facebook.com/ads/archive/render_ad/?id=361284161775772&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Hey Texas, this is it. The most important election of our lifetimes is here and we’re going to make history by flipping the Texas House of Representatives blue. But to fuel the blue wave in Texas, it’s critical that you make sure to vote ALL THE WAY DOWN the ballot. Travis Boldt is running in an extremely competitive State House race in your district and is counting on your vote. \n\nSo, I’m asking you to make a plan to vote right now: \n      🕒 Schedule when you can go vote\n      📍 Locate your polling place\n      🗳️ Know what you can take to the polls\n\nTogether, we’re going to decide the future, the fortune, and the fate of our state — and it starts with you voting.']",['vote.poweredxpeople.org'],['en'],2020-10-31,2020-11-03,"[{'percentage': '0.000421', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.06271', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.011153', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.001684', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.088173', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.046717', 'age': '65+', 'gender': 'male'}, {'percentage': '0.090278', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.046507', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.150884', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.000842', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.109638', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.081019', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.181608', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.101852', 'age': '65+', 'gender': 'female'}, {'percentage': '0.021675', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.002104', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001894', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000842', 'age': '25-34', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Texas'}]",['It’s critical that you vote all the way down the ballot. Travis Boldt is running in your district and is counting on your vote.'],['Have you made a plan to vote yet?'],Powered By People 
380885053346745,223055747744143,Beto O'Rourke,https://www.facebook.com/ads/archive/render_ad/?id=380885053346745&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['🗳️🗳️🗳️If every single person reading this ad casts a ballot in this election, we will set a record for voter turnout in our state. Together, we can make history and flip the Texas State House blue — but it starts with you voting all of the way down the ballot. \n\nTravis Boldt is running for the Texas House of Representatives in an extremely competitive race in your district and is counting on your vote. \n\nSo make a plan to vote right now: \n\n✅When you’ll vote\n✅Where you’ll vote\n✅What you’ll take to the polls \n\nThere’s too much on the line this election for you to not vote this November. Make a plan and go vote!']",['vote.poweredxpeople.org'],['en'],2020-10-31,2020-11-03,"[{'percentage': '0.000821', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.08701', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.002463', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.012518', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.059512', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.091114', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.049046', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.167043', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.155141', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001642', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.080443', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.108147', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.097476', 'age': '65+', 'gender': 'female'}, {'percentage': '0.057254', 'age': '65+', 'gender': 'male'}, {'percentage': '0.002668', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.026472', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.001231', 'age': '25-34', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Texas'}]",['It’s critical that you vote all the way down the ballot. Travis Boldt is running in your district and is counting on your vote.'],['Help us make history | Make a plan to vote >>'],Powered By People 
709996389604435,223055747744143,Beto O'Rourke,https://www.facebook.com/ads/archive/render_ad/?id=709996389604435&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Hey Texas, this is it. The most important election of our lifetimes is here and we’re going to make history by flipping the Texas House of Representatives blue. But to fuel the blue wave in Texas, it’s critical that you make sure to vote ALL THE WAY DOWN the ballot. Travis Boldt is running in an extremely competitive State House race in your district and is counting on your vote. \n\nSo, I’m asking you to make a plan to vote right now: \n      🕒 Schedule when you can go vote\n      📍 Locate your polling place\n      🗳️ Know what you can take to the polls\n\nTogether, we’re going to decide the future, the fortune, and the fate of our state — and it starts with you voting.']",['vote.poweredxpeople.org'],['en'],2020-10-31,2020-10-31,,,['It’s critical that you vote all the way down the ballot. Travis Boldt is running in your district and is counting on your vote.'],['Have you made a plan to vote yet?'],Powered By People 
360920798462000,223055747744143,Beto O'Rourke,https://www.facebook.com/ads/archive/render_ad/?id=360920798462000&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['🗳️🗳️🗳️If every single person reading this ad casts a ballot in this election, we will set a record for voter turnout in our state. Together, we can make history and flip the Texas State House blue — but it starts with you voting all of the way down the ballot. \n\nTravis Boldt is running for the Texas House of Representatives in an extremely competitive race in your district and is counting on your vote. \n\nSo make a plan to vote right now: \n\n✅When you’ll vote\n✅Where you’ll vote\n✅What you’ll take to the polls \n\nThere’s too much on the line this election for you to not vote this November. Make a plan and go vote!']",['vote.poweredxpeople.org'],['en'],2020-10-31,2020-10-31,,,['It’s critical that you vote all the way down the ballot. Travis Boldt is running in your district and is counting on your vote.'],['Help us make history | Make a plan to vote >>'],Powered By People 
639754580048065,223055747744143,Beto O'Rourke,https://www.facebook.com/ads/archive/render_ad/?id=639754580048065&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Hey Texas, this is it. The most important election of our lifetimes is here and we’re going to make history by flipping the Texas House of Representatives blue. But to fuel the blue wave in Texas, it’s critical that you make sure to vote ALL THE WAY DOWN the ballot. Travis Boldt is running in an extremely competitive State House race in your district and is counting on your vote. \n\nSo, I’m asking you to make a plan to vote right now: \n      🕒 Schedule when you can go vote\n      📍 Locate your polling place\n      🗳️ Know what you can take to the polls\n\nTogether, we’re going to decide the future, the fortune, and the fate of our state — and it starts with you voting.']",['vote.poweredxpeople.org'],['en'],2020-10-31,2020-10-31,,,['It’s critical that you vote all the way down the ballot. Travis Boldt is running in your district and is counting on your vote.'],['Have you made a plan to vote yet?'],Powered By People 
