id,page_id,page_name,ad_snapshot_url,ad_creative_bodies,ad_creative_link_descriptions,ad_creative_link_titles,bylines,languages,ad_delivery_start_time,ad_delivery_stop_time,demographic_distribution,delivery_by_region,ad_creative_link_captions
948620612331380,391181981303164,Jewish Community Relations Council of Greater Phoenix,https://www.facebook.com/ads/archive/render_ad/?id=948620612331380&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['Still have questions on how to make sure your vote is counted this election? Check out the Jewish News/JCRC program with AZ Secretary of State Katie Hobbs and All Voting is Local AZ Executive Director Alex Gulotta.\n\nhttp://www.jewishaz.com/community/jewish-news-q-a-election-2020/article_1c0b6556-09b8-11eb-8a0e-f32a0903c207.html'],['Arizona Secretary of State Katie Hobbs and All Voting is Local Arizona Director Alex Gulotta discussed voting in the November general election on a live Zoom call presented by the'],['Jewish News Q&A: Election 2020'],JEWISH COMMUNITY RELATIONS COUNCIL,['en'],2020-10-12,2020-10-14,"[{'percentage': '0.006803', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.054422', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.081633', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.047619', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.07483', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.258503', 'age': '65+', 'gender': 'female'}, {'percentage': '0.115646', 'age': '65+', 'gender': 'male'}, {'percentage': '0.163265', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.088435', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.081633', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.006803', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.006803', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.013605', 'age': '25-34', 'gender': 'female'}]","[{'percentage': '1', 'region': 'Arizona'}]",
782110202542260,124326681036084,Katie Hobbs,https://www.facebook.com/ads/archive/render_ad/?id=782110202542260&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['We need universal vote-by-mail.'],['Petition for universal vote-by-mail'],['Make voting easier!'],Elect Katie Hobbs,['en'],2020-09-15,2020-09-19,"[{'percentage': '0.043165', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.007194', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.057554', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.007194', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.294964', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.151079', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.402878', 'age': '65+', 'gender': 'female'}, {'percentage': '0.007194', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.007194', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.014388', 'age': '65+', 'gender': 'male'}, {'percentage': '0.007194', 'age': '25-34', 'gender': 'male'}]","[{'percentage': '0.007194', 'region': 'New Mexico'}, {'percentage': '0.007194', 'region': 'Idaho'}, {'percentage': '0.956835', 'region': 'Arizona'}, {'percentage': '0.007194', 'region': 'Alaska'}, {'percentage': '0.007194', 'region': 'Indiana'}, {'percentage': '0.007194', 'region': 'Oregon'}, {'percentage': '0.007194', 'region': 'South Carolina'}]",['fb.me']
413767996276588,124326681036084,Katie Hobbs,https://www.facebook.com/ads/archive/render_ad/?id=413767996276588&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['Katie is AZ’s first Democrat elected as Secretary of State in 2 decades. We need her in office working for every Arizonan.'],['Help us re-elect Katie!'],['Join our campaign!'],Elect Katie Hobbs,['en'],2020-09-15,2020-09-19,"[{'percentage': '0.031915', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.010638', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.010638', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.329787', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.297872', 'age': '65+', 'gender': 'female'}, {'percentage': '0.180851', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.117021', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.021277', 'age': '25-34', 'gender': 'female'}]","[{'percentage': '0.010638', 'region': 'Indiana'}, {'percentage': '0.957447', 'region': 'Arizona'}, {'percentage': '0.021277', 'region': 'New Mexico'}, {'percentage': '0.010638', 'region': 'Oregon'}]",['fb.me']
802795337204655,124326681036084,Katie Hobbs,https://www.facebook.com/ads/archive/render_ad/?id=802795337204655&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['AZ is a battleground state. We have the chance to win big in November and elect leaders who will protect our voting rights.'],['Help us turn AZ blue'],['Join us to help turn Arizona blue!'],Elect Katie Hobbs,['en'],2020-09-15,2020-09-19,"[{'percentage': '0.003887', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001944', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.002915', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.000972', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.005831', 'age': '65+', 'gender': 'male'}, {'percentage': '0.000972', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.002915', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.364431', 'age': '65+', 'gender': 'female'}, {'percentage': '0.185617', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.334305', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.068999', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.008746', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.016521', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.000972', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.000972', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '0.001949', 'region': 'Alaska'}, {'percentage': '0.001949', 'region': 'California'}, {'percentage': '0.000975', 'region': 'Idaho'}, {'percentage': '0.000975', 'region': 'Wyoming'}, {'percentage': '0.000975', 'region': 'Tennessee'}, {'percentage': '0.002924', 'region': 'Oregon'}, {'percentage': '0.002924', 'region': 'Nevada'}, {'percentage': '0.000975', 'region': 'Maryland'}, {'percentage': '0.000975', 'region': 'Indiana'}, {'percentage': '0.97076', 'region': 'Arizona'}, {'percentage': '0.002924', 'region': 'Colorado'}, {'percentage': '0.000975', 'region': 'Washington'}, {'percentage': '0.000975', 'region': 'New York'}, {'percentage': '0.000975', 'region': 'Nebraska'}, {'percentage': '0.000975', 'region': 'Utah'}, {'percentage': '0.000975', 'region': 'Ohio'}, {'percentage': '0.000975', 'region': 'North Dakota'}, {'percentage': '0.003899', 'region': 'New Mexico'}, {'percentage': '0.000975', 'region': 'Maine'}, {'percentage': '0.000975', 'region': 'Texas'}]",['fb.me']
1035672333537975,124326681036084,Katie Hobbs,https://www.facebook.com/ads/archive/render_ad/?id=1035672333537975&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['The Trump Administration is sabotaging the USPS to make it harder to vote by mail. We can’t let that happen.'],['Petition to save the USPS'],['Save the USPS!'],Elect Katie Hobbs,['en'],2020-09-15,2020-09-17,"[{'percentage': '0.000539', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.000539', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.000539', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.004847', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.015078', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.003231', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.035003', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.004847', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.008078', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.004847', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.278945', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.501885', 'age': '65+', 'gender': 'female'}, {'percentage': '0.013463', 'age': '65+', 'gender': 'male'}, {'percentage': '0.126548', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001616', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '0.000537', 'region': 'Michigan'}, {'percentage': '0.001074', 'region': 'Utah'}, {'percentage': '0.000537', 'region': 'South Carolina'}, {'percentage': '0.002684', 'region': 'Oregon'}, {'percentage': '0.001074', 'region': 'Minnesota'}, {'percentage': '0.001074', 'region': 'Maine'}, {'percentage': '0.000537', 'region': 'Indiana'}, {'percentage': '0.000537', 'region': 'Idaho'}, {'percentage': '0.000537', 'region': 'Wyoming'}, {'percentage': '0.00161', 'region': 'Wisconsin'}, {'percentage': '0.000537', 'region': 'Washington'}, {'percentage': '0.000537', 'region': 'Oklahoma'}, {'percentage': '0.000537', 'region': 'Ohio'}, {'percentage': '0.00161', 'region': 'New Mexico'}, {'percentage': '0.001074', 'region': 'Nevada'}, {'percentage': '0.001074', 'region': 'Nebraska'}, {'percentage': '0.000537', 'region': 'Maryland'}, {'percentage': '0.002147', 'region': 'Kansas'}, {'percentage': '0.000537', 'region': 'Hawaii'}, {'percentage': '0.00161', 'region': 'Colorado'}, {'percentage': '0.003757', 'region': 'California'}, {'percentage': '0.974235', 'region': 'Arizona'}, {'percentage': '0.000537', 'region': 'Alabama'}, {'percentage': '0.001074', 'region': 'Illinois'}]",['fb.me']
350125579496480,124326681036084,Katie Hobbs,https://www.facebook.com/ads/archive/render_ad/?id=350125579496480&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['Katie is AZ’s first Democrat elected as Secretary of State in 2 decades. We need her in office working for every Arizonan.'],['Help us re-elect Katie!'],['Join our campaign!'],Elect Katie Hobbs,['en'],2020-09-08,2020-09-15,"[{'percentage': '0.00607', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.00607', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.001517', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.003035', 'age': '65+', 'gender': 'male'}, {'percentage': '0.003035', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.130501', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.045524', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.235205', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.247344', 'age': '65+', 'gender': 'female'}, {'percentage': '0.29742', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.001517', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.009105', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.007587', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.003035', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.003035', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '0.001546', 'region': 'California'}, {'percentage': '0.001546', 'region': 'Tennessee'}, {'percentage': '0.006182', 'region': 'Texas'}, {'percentage': '0.001546', 'region': 'Utah'}, {'percentage': '0.001546', 'region': 'Alaska'}, {'percentage': '0.001546', 'region': 'Colorado'}, {'percentage': '0.001546', 'region': 'Illinois'}, {'percentage': '0.001546', 'region': 'Indiana'}, {'percentage': '0.001546', 'region': 'Nevada'}, {'percentage': '0.001546', 'region': 'Washington'}, {'percentage': '0.003091', 'region': 'Wisconsin'}, {'percentage': '0.976816', 'region': 'Arizona'}]",['fb.me']
744236269688901,124326681036084,Katie Hobbs,https://www.facebook.com/ads/archive/render_ad/?id=744236269688901&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['We need universal vote-by-mail.'],['Petition for universal vote-by-mail'],['Make voting easier!'],Elect Katie Hobbs,['en'],2020-09-08,2020-09-15,"[{'percentage': '0.004861', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.006186', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.271763', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.184269', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.000442', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.002209', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001768', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.00707', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.003093', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001326', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.050376', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.006186', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.104728', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.010605', 'age': '65+', 'gender': 'male'}, {'percentage': '0.005303', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.002209', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.337605', 'age': '65+', 'gender': 'female'}]","[{'percentage': '0.00045', 'region': 'Alabama'}, {'percentage': '0.001351', 'region': 'Washington'}, {'percentage': '0.00045', 'region': 'North Carolina'}, {'percentage': '0.00045', 'region': 'Utah'}, {'percentage': '0.00045', 'region': 'Minnesota'}, {'percentage': '0.001802', 'region': 'Michigan'}, {'percentage': '0.00045', 'region': 'Massachusetts'}, {'percentage': '0.00045', 'region': 'Kansas'}, {'percentage': '0.00045', 'region': 'Iowa'}, {'percentage': '0.00045', 'region': 'Idaho'}, {'percentage': '0.00045', 'region': 'Georgia'}, {'percentage': '0.00045', 'region': 'Florida'}, {'percentage': '0.00045', 'region': 'Connecticut'}, {'percentage': '0.001351', 'region': 'Wisconsin'}, {'percentage': '0.00045', 'region': 'Virginia'}, {'percentage': '0.00045', 'region': 'Alaska'}, {'percentage': '0.002252', 'region': 'Texas'}, {'percentage': '0.003153', 'region': 'Oregon'}, {'percentage': '0.001351', 'region': 'New York'}, {'percentage': '0.003153', 'region': 'New Mexico'}, {'percentage': '0.001351', 'region': 'Nevada'}, {'percentage': '0.000901', 'region': 'Nebraska'}, {'percentage': '0.001351', 'region': 'Missouri'}, {'percentage': '0.00045', 'region': 'Maine'}, {'percentage': '0.001351', 'region': 'Indiana'}, {'percentage': '0.001351', 'region': 'Illinois'}, {'percentage': '0.001802', 'region': 'Colorado'}, {'percentage': '0.001802', 'region': 'California'}, {'percentage': '0.969369', 'region': 'Arizona'}]",['fb.me']
883911618804084,124326681036084,Katie Hobbs,https://www.facebook.com/ads/archive/render_ad/?id=883911618804084&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['The Trump Administration is sabotaging the USPS to make it harder to vote by mail. We can’t let that happen.'],['Petition to save the USPS'],['Save the USPS!'],Elect Katie Hobbs,['en'],2020-09-08,2020-09-15,"[{'percentage': '0.002865', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001228', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.000409', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001228', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.001637', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000819', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.008596', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.003275', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.003684', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.004912', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.267294', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.130577', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.488743', 'age': '65+', 'gender': 'female'}, {'percentage': '0.04912', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.013099', 'age': '65+', 'gender': 'male'}, {'percentage': '0.022104', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.000409', 'age': '18-24', 'gender': 'male'}]","[{'percentage': '0.000416', 'region': 'New Jersey'}, {'percentage': '0.002081', 'region': 'Colorado'}, {'percentage': '0.001665', 'region': 'New Mexico'}, {'percentage': '0.001248', 'region': 'Nevada'}, {'percentage': '0.001248', 'region': 'Wisconsin'}, {'percentage': '0.000832', 'region': 'Washington'}, {'percentage': '0.000832', 'region': 'Utah'}, {'percentage': '0.000416', 'region': 'South Carolina'}, {'percentage': '0.002497', 'region': 'Oregon'}, {'percentage': '0.000832', 'region': 'Nebraska'}, {'percentage': '0.000832', 'region': 'Michigan'}, {'percentage': '0.000416', 'region': 'Kansas'}, {'percentage': '0.001665', 'region': 'Illinois'}, {'percentage': '0.002913', 'region': 'California'}, {'percentage': '0.000832', 'region': 'New York'}, {'percentage': '0.975031', 'region': 'Arizona'}, {'percentage': '0.000832', 'region': 'Alaska'}, {'percentage': '0.000416', 'region': 'Alabama'}, {'percentage': '0.000416', 'region': 'Maryland'}, {'percentage': '0.000416', 'region': 'Oklahoma'}, {'percentage': '0.000832', 'region': 'Maine'}, {'percentage': '0.000416', 'region': 'Texas'}, {'percentage': '0.000416', 'region': 'Hawaii'}, {'percentage': '0.000416', 'region': 'Florida'}, {'percentage': '0.000832', 'region': 'Minnesota'}, {'percentage': '0.000832', 'region': 'Indiana'}, {'percentage': '0.000416', 'region': 'Rhode Island'}]",['fb.me']
1230427337298829,124326681036084,Katie Hobbs,https://www.facebook.com/ads/archive/render_ad/?id=1230427337298829&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['AZ is a battleground state. We have the chance to win big in November and elect leaders who will protect our voting rights.'],['Help us turn AZ blue'],['Join us to help turn Arizona blue!'],Elect Katie Hobbs,['en'],2020-09-08,2020-09-15,"[{'percentage': '0.001168', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.003505', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001168', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000389', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.000389', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.003505', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000779', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.002336', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.086449', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.000389', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.197819', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.346573', 'age': '65+', 'gender': 'female'}, {'percentage': '0.327103', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.021028', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.003115', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.001947', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.002336', 'age': '45-54', 'gender': 'male'}]","[{'percentage': '0.00039', 'region': 'Rhode Island'}, {'percentage': '0.00117', 'region': 'Utah'}, {'percentage': '0.00039', 'region': 'Alabama'}, {'percentage': '0.00117', 'region': 'Wisconsin'}, {'percentage': '0.00429', 'region': 'New Mexico'}, {'percentage': '0.00039', 'region': 'Indiana'}, {'percentage': '0.00195', 'region': 'Illinois'}, {'percentage': '0.0039', 'region': 'California'}, {'percentage': '0.977769', 'region': 'Arizona'}, {'percentage': '0.00039', 'region': 'Ohio'}, {'percentage': '0.00039', 'region': 'Washington'}, {'percentage': '0.00117', 'region': 'Nevada'}, {'percentage': '0.00117', 'region': 'Colorado'}, {'percentage': '0.00039', 'region': 'Nebraska'}, {'percentage': '0.00039', 'region': 'Montana'}, {'percentage': '0.00039', 'region': 'Minnesota'}, {'percentage': '0.00078', 'region': 'Wyoming'}, {'percentage': '0.00117', 'region': 'Texas'}, {'percentage': '0.00039', 'region': 'Tennessee'}, {'percentage': '0.00039', 'region': 'Oregon'}, {'percentage': '0.00078', 'region': 'New York'}, {'percentage': '0.00039', 'region': 'Maine'}, {'percentage': '0.00039', 'region': 'Idaho'}]",['fb.me']
352692255917932,124326681036084,Katie Hobbs,https://www.facebook.com/ads/archive/render_ad/?id=352692255917932&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,['We need universal vote-by-mail.'],['Petition for universal vote-by-mail'],['Make voting easier!'],Elect Katie Hobbs,['en'],2020-09-02,2020-09-08,"[{'percentage': '0.003688', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.003688', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001721', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.003688', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.004918', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.000738', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.006147', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.012786', 'age': '65+', 'gender': 'male'}, {'percentage': '0.089747', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.005655', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.383083', 'age': '65+', 'gender': 'female'}, {'percentage': '0.286698', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.157118', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001967', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.001229', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.036145', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.000984', 'age': '25-34', 'gender': 'unknown'}]","[{'percentage': '0.000246', 'region': 'Rhode Island'}, {'percentage': '0.000493', 'region': 'Nebraska'}, {'percentage': '0.002217', 'region': 'Texas'}, {'percentage': '0.000739', 'region': 'Michigan'}, {'percentage': '0.000739', 'region': 'Kansas'}, {'percentage': '0.000739', 'region': 'Illinois'}, {'percentage': '0.000246', 'region': 'Hawaii'}, {'percentage': '0.000739', 'region': 'Florida'}, {'percentage': '0.00197', 'region': 'Colorado'}, {'percentage': '0.002956', 'region': 'California'}, {'percentage': '0.976108', 'region': 'Arizona'}, {'percentage': '0.000246', 'region': 'Alaska'}, {'percentage': '0.000493', 'region': 'Wyoming'}, {'percentage': '0.000493', 'region': 'Virginia'}, {'percentage': '0.000246', 'region': 'New Jersey'}, {'percentage': '0.000493', 'region': 'Minnesota'}, {'percentage': '0.000493', 'region': 'Massachusetts'}, {'percentage': '0.000246', 'region': 'Missouri'}, {'percentage': '0.000985', 'region': 'Wisconsin'}, {'percentage': '0.000739', 'region': 'Washington'}, {'percentage': '0.000246', 'region': 'Tennessee'}, {'percentage': '0.000493', 'region': 'South Carolina'}, {'percentage': '0.001478', 'region': 'Oregon'}, {'percentage': '0.000246', 'region': 'North Dakota'}, {'percentage': '0.000739', 'region': 'New York'}, {'percentage': '0.002217', 'region': 'New Mexico'}, {'percentage': '0.000246', 'region': 'New Hampshire'}, {'percentage': '0.000739', 'region': 'Nevada'}, {'percentage': '0.000739', 'region': 'Maine'}, {'percentage': '0.000246', 'region': 'Iowa'}, {'percentage': '0.000246', 'region': 'Indiana'}, {'percentage': '0.000739', 'region': 'Utah'}]",['fb.me']
