id,page_id,page_name,ad_snapshot_url,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_titles,bylines,languages,ad_delivery_start_time,ad_delivery_stop_time,demographic_distribution,delivery_by_region,ad_creative_link_descriptions
849168085855568,433445370046333,Unidos US Action Fund,https://www.facebook.com/ads/archive/render_ad/?id=849168085855568&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Watch the LIVESTREAM Here with Valle Del Sol, Arizona Alliance for Retired Americans and Lower Drug Price Now. We’re discussing the impact of high prescription drug prices on our Latino community.']",['www.unidosusaf.org'],['AZ Latinx For Lower Drug Prices Now'],UnidosUS Action Fund,['en'],2020-10-21,2020-10-25,"[{'percentage': '0.000414', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.102891', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.028085', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.052857', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.092877', 'age': '65+', 'gender': 'female'}, {'percentage': '0.11588', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.069159', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.108011', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.10436', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.000414', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.113282', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.095324', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.057789', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.056509', 'age': '65+', 'gender': 'male'}, {'percentage': '0.000678', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000565', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000678', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000226', 'age': '18-24', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Arizona'}]",
379410166746965,433445370046333,Unidos US Action Fund,https://www.facebook.com/ads/archive/render_ad/?id=379410166746965&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""This content was removed because it didn't follow our Advertising Standards.""]","[""This content was removed because it didn't follow our Advertising Standards.""]","[""This content was removed because it didn't follow our Advertising Standards.""]",UnidosUS Action Fund,['en'],2020-10-20,2020-10-21,"[{'percentage': '0.000481', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.160053', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.073857', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.049048', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.172566', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.069613', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.127718', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.106716', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.033384', 'age': '65+', 'gender': 'male'}, {'percentage': '0.000569', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.041785', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.054255', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.063356', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001006', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000306', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.000306', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000438', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.044542', 'age': '65+', 'gender': 'female'}]","[{'percentage': '1', 'region': 'Arizona'}]","[""This content was removed because it didn't follow our Advertising Standards.""]"
476930419930685,1476623265909250,Chispa AZ,https://www.facebook.com/ads/archive/render_ad/?id=476930419930685&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""The stakes are high this election. That's why CHiSPA AZ PAC is supporting Coral Evans! MAIL YOUR EARLY BALLOT before October 27th OR VOTE in person on November 3rd!""]",['www.coralevansaz.com'],,Chispa AZ,['en'],2020-10-08,2020-11-03,"[{'percentage': '0.000349', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.122121', 'age': '65+', 'gender': 'female'}, {'percentage': '0.001745', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001745', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.102582', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.079553', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.060014', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.116888', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.002094', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.037334', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.11619', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.077809', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.078856', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.094557', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.062456', 'age': '65+', 'gender': 'male'}, {'percentage': '0.043266', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.001745', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.000698', 'age': '25-34', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Arizona'}]",
1646907175492323,1476623265909250,Chispa AZ,https://www.facebook.com/ads/archive/render_ad/?id=1646907175492323&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""The stakes are high this election. That's why CHiSPA AZ PAC is supporting Coral Evans! MAIL YOUR EARLY BALLOT before October 27th OR VOTE in person on November 3rd!""]",['www.coralevansaz.com'],,Chispa AZ,['en'],2020-10-08,2020-11-03,"[{'percentage': '0.000358', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.173166', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.002504', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.105546', 'age': '65+', 'gender': 'male'}, {'percentage': '0.054025', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.052952', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.048658', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.164222', 'age': '65+', 'gender': 'female'}, {'percentage': '0.071914', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.000716', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.065474', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.002504', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.0322', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.033989', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.097674', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.092665', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.001073', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.000358', 'age': '25-34', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Arizona'}]",
652357242319128,1476623265909250,Chispa AZ,https://www.facebook.com/ads/archive/render_ad/?id=652357242319128&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""The stakes are high this election. That's why CHiSPA AZ PAC is supporting Coral Evans! MAIL YOUR EARLY BALLOT before October 27th OR VOTE in person on November 3rd!""]",['www.coralevansaz.com'],,Chispa AZ,['en'],2020-10-08,2020-11-03,"[{'percentage': '0.001624', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.109507', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.001263', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.056648', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.116363', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.056828', 'age': '65+', 'gender': 'male'}, {'percentage': '0.104456', 'age': '65+', 'gender': 'female'}, {'percentage': '0.055024', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.107523', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.001443', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.080823', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.068194', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.102472', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.042757', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.001263', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.091286', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001804', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000722', 'age': '55-64', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Arizona'}]",
356570742363349,206291632794768,Coral For Arizona,https://www.facebook.com/ads/archive/render_ad/?id=356570742363349&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Growing up, my grandfather would take me fishing in Lake Mary. Those trips remain some of my most treasured memories. Our waterways in Northern Arizona are both places for recreation and a vital part of our economy.\n\nAs Representative, I’ll work to keep our waterways healthy, preserve the natural beauty of our region, and protect Northern Arizona for future generations.']",['www.coralevansaz.com'],['Vote Coral Evans for AZ House District 6'],Coral 4 AZ. Authorized by Coral Evans,['en'],2020-10-08,2020-10-10,"[{'percentage': '0.191617', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.269461', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.305389', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.125749', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.107784', 'age': '65+', 'gender': 'female'}]","[{'percentage': '1', 'region': 'Arizona'}]",['Fighting to conserve our public lands']
616072359087605,206291632794768,Coral For Arizona,https://www.facebook.com/ads/archive/render_ad/?id=616072359087605&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Growing up, my grandfather would take me fishing in Lake Mary. Those trips remain some of my most treasured memories. Our waterways in Northern Arizona are both places for recreation and a vital part of our economy.\n\nAs Representative, I’ll work to keep our waterways healthy, preserve the natural beauty of our region, and protect Northern Arizona for future generations.']",['www.coralevansaz.com'],['Vote Coral Evans for AZ House District 6'],Coral 4 AZ. Authorized by Coral Evans,['en'],2020-10-08,2020-10-10,"[{'percentage': '0.115842', 'age': '65+', 'gender': 'female'}, {'percentage': '0.235644', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.157426', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.311881', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.179208', 'age': '45-54', 'gender': 'female'}]","[{'percentage': '1', 'region': 'Arizona'}]",['Fighting to conserve our public lands']
2858433771105515,206291632794768,Coral For Arizona,https://www.facebook.com/ads/archive/render_ad/?id=2858433771105515&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Growing up, my grandfather would take me fishing in Lake Mary. Those trips remain some of my most treasured memories. Our waterways in Northern Arizona are both places for recreation and a vital part of our economy.\n\nAs Representative, I’ll work to keep our waterways healthy, preserve the natural beauty of our region, and protect Northern Arizona for future generations.']",['www.coralevansaz.com'],['Vote Coral Evans for AZ House District 6'],Coral 4 AZ. Authorized by Coral Evans,['en'],2020-10-08,2020-10-10,"[{'percentage': '0.036723', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.036723', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.050847', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.124294', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.087571', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.096045', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.169492', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.019774', 'age': '65+', 'gender': 'male'}, {'percentage': '0.10452', 'age': '65+', 'gender': 'female'}, {'percentage': '0.152542', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.050847', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.070621', 'age': '35-44', 'gender': 'male'}]","[{'percentage': '1', 'region': 'Arizona'}]",['Fighting to conserve our public lands']
617573045606570,206291632794768,Coral For Arizona,https://www.facebook.com/ads/archive/render_ad/?id=617573045606570&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Growing up, my grandfather would take me fishing in Lake Mary. Those trips remain some of my most treasured memories. Our waterways in Northern Arizona are both places for recreation and a vital part of our economy.\n\nAs Representative, I’ll work to keep our waterways healthy, preserve the natural beauty of our region, and protect Northern Arizona for future generations.']",['www.coralevansaz.com'],['Vote Coral Evans for AZ House District 6'],Coral 4 AZ. Authorized by Coral Evans,['en'],2020-10-08,2020-10-10,"[{'percentage': '0.025316', 'age': '65+', 'gender': 'male'}, {'percentage': '0.06962', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.170886', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.085443', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.142405', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.186709', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.139241', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.079114', 'age': '65+', 'gender': 'female'}, {'percentage': '0.063291', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.03481', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.003165', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Arizona'}]",['Fighting to conserve our public lands']
3491028727625217,206291632794768,Coral For Arizona,https://www.facebook.com/ads/archive/render_ad/?id=3491028727625217&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['Growing up, my grandfather would take me fishing in Lake Mary. Those trips remain some of my most treasured memories. Our waterways in Northern Arizona are both places for recreation and a vital part of our economy.\n\nAs Representative, I’ll work to keep our waterways healthy, preserve the natural beauty of our region, and protect Northern Arizona for future generations.']",['www.coralevansaz.com'],['Vote Coral Evans for AZ House District 6'],Coral 4 AZ. Authorized by Coral Evans,['en'],2020-10-08,2020-10-10,"[{'percentage': '0.001148', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.13318', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.126866', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.083812', 'age': '65+', 'gender': 'female'}, {'percentage': '0.110792', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.126292', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.043628', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.070608', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.188863', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.06946', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.040758', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001722', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.00287', 'age': '35-44', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Arizona'}]",['Fighting to conserve our public lands']
