id,page_id,page_name,ad_snapshot_url,ad_creative_bodies,ad_creative_link_titles,languages,ad_delivery_start_time,ad_delivery_stop_time,demographic_distribution,delivery_by_region,bylines,ad_creative_link_captions,ad_creative_link_descriptions
1776893575802892,322771814739545,Everyone In LA,https://www.facebook.com/ads/archive/render_ad/?id=1776893575802892&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""We know how to end homelessness in L.A. County, so what's taking so long? On the anniversary of Prop. HHH, we're spotlighting solutions and speaking to some of the innovators and agitators working to make more housing available to more people. Moderated by KCRW's Warren Olney.""]",['Everyone In Community Call: Housing First. Housing Now.'],['en'],2020-11-25,2020-11-25,"[{'percentage': '0.003367', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.158249', 'age': '65+', 'gender': 'male'}, {'percentage': '0.002694', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.010101', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.027609', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.005387', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.089562', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.112458', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.065993', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.009428', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.076094', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.192593', 'age': '65+', 'gender': 'female'}, {'percentage': '0.131987', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.074074', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.03569', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.003367', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.001347', 'age': '25-34', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'California'}]",,,
291672405505889,322771814739545,Everyone In LA,https://www.facebook.com/ads/archive/render_ad/?id=291672405505889&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""We know how to end homelessness in L.A. County, so what's taking so long? On the anniversary of Prop. HHH, we're spotlighting solutions and speaking to some of the innovators and agitators working to make more housing available to more people. Moderated by KCRW's Warren Olney.""]",['Everyone In Community Call: Housing First. Housing Now.'],['en'],2020-11-25,2020-11-25,"[{'percentage': '0.002656', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.145176', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.00059', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.011213', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.087341', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.133668', 'age': '65+', 'gender': 'male'}, {'percentage': '0.12157', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.249041', 'age': '65+', 'gender': 'female'}, {'percentage': '0.032458', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.00059', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.060785', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.036589', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.042195', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.059014', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.013278', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.002066', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001475', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000295', 'age': '18-24', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'California'}]",,,
821834901720292,322771814739545,Everyone In LA,https://www.facebook.com/ads/archive/render_ad/?id=821834901720292&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""We know how to end homelessness in L.A. County, so what's taking so long? On the anniversary of Prop. HHH, we're spotlighting solutions and speaking to some of the innovators and agitators working to make more housing available to more people. Moderated by KCRW's Warren Olney.""]",['Everyone In Community Call: Housing First. Housing Now.'],['en'],2020-11-25,2020-11-25,,,,,
2919696318132283,255283408385955,Keep Pflugerville Affordable,https://www.facebook.com/ads/archive/render_ad/?id=2919696318132283&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""PFLUGERVILLE !!!!!\nLET'S KEEP PFLUGERVILLE AFFORDABLE!\n \nTired of the City Council trying to raise our PROPERTY TAXES the Maximum every year?\nLet's make a Change! Vote for Lower Taxation!\n\nVote Bob Reichenbach for Place 4\nVote David Rogers for Place 6\nVote Ceasar Ruiz for Place 2\n\nNote... KPA Facebook group is a NON-PARTISAN group of concerned Pflugerville Taxpayers that strive to provide fiscal oversight of our local elected CITY officials.\nOur discussion group is here: https://www.facebook.com/groups/KeepPfAffordable/""]",['Keep Pflugerville Affordable - Time To Vote!'],['en'],2020-10-13,2020-10-20,"[{'percentage': '0.002351', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.051246', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.029149', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.123648', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.062059', 'age': '65+', 'gender': 'male'}, {'percentage': '0.104372', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.134462', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.117536', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.091208', 'age': '65+', 'gender': 'female'}, {'percentage': '0.153738', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.125999', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.00141', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.00094', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.00094', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.00094', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Texas'}]",Terry Lynn Newsom,,
771369556742760,275829033196378,Jason Kishineff,https://www.facebook.com/ads/archive/render_ad/?id=771369556742760&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""Candidates, a lot of times, are only asked specific questions, and not offered a chance to speak for a longer time, which prevents an individual from laying out how their ideas fit together (or don't). I was invited to speak about my vision for 10 minutes by the Fil-Am Community of American Canyon. I went over by 1 minute and the video got cut-off, so I redid it.\n\n100% Grassroots funded, as always.\nhttps://www.paypal.com/paypalme/JasonKishineff""]",['American Canyon Vision'],['en'],2020-10-04,2020-10-09,"[{'percentage': '0.002385', 'age': '13-17', 'gender': 'female'}, {'percentage': '0.004769', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.007154', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.081081', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.175676', 'age': '65+', 'gender': 'female'}, {'percentage': '0.13752', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.175676', 'age': '65+', 'gender': 'male'}, {'percentage': '0.065978', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.036566', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.112878', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.0469', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.130366', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.004769', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.018283', 'age': '25-34', 'gender': 'female'}]","[{'percentage': '1', 'region': 'California'}]",ELECT JASON KISHINEFF,,
331439504581893,113838997060438,THIS IS REVOLUTION podcast,https://www.facebook.com/ads/archive/render_ad/?id=331439504581893&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""Q&A With Professor Harvey J. Kaye\n\nTalking FDR, Thomas Paine, and the current state of affairs with Professor Harvey J. Kaye and of course...ALL Y'ALL!""]",['Q&A With Professor Harvey J. Kaye'],['en'],2020-09-25,2020-09-29,"[{'percentage': '0.000724', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001448', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.020275', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.007965', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.01231', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.006517', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.002172', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.037654', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.089066', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.238233', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.102824', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.117306', 'age': '65+', 'gender': 'female'}, {'percentage': '0.152064', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.17958', 'age': '65+', 'gender': 'male'}, {'percentage': '0.031861', 'age': '45-54', 'gender': 'female'}]","[{'percentage': '0.005793', 'region': 'Colorado'}, {'percentage': '0.007241', 'region': 'North Dakota'}, {'percentage': '0.01231', 'region': 'Minnesota'}, {'percentage': '0.026068', 'region': 'Mississippi'}, {'percentage': '0.039826', 'region': 'Missouri'}, {'percentage': '0.008689', 'region': 'Nebraska'}, {'percentage': '0.006517', 'region': 'Nevada'}, {'percentage': '0.003621', 'region': 'New Hampshire'}, {'percentage': '0.010862', 'region': 'New Jersey'}, {'percentage': '0.007241', 'region': 'New Mexico'}, {'percentage': '0.03693', 'region': 'New York'}, {'percentage': '0.026792', 'region': 'North Carolina'}, {'percentage': '0.048516', 'region': 'Ohio'}, {'percentage': '0.013758', 'region': 'Massachusetts'}, {'percentage': '0.030413', 'region': 'Oklahoma'}, {'percentage': '0.017379', 'region': 'Oregon'}, {'percentage': '0.014482', 'region': 'Pennsylvania'}, {'percentage': '0.026068', 'region': 'South Carolina'}, {'percentage': '0.003621', 'region': 'South Dakota'}, {'percentage': '0.03693', 'region': 'Tennessee'}, {'percentage': '0.068067', 'region': 'Texas'}, {'percentage': '0.019551', 'region': 'Virginia'}, {'percentage': '0.026068', 'region': 'Washington'}, {'percentage': '0.017379', 'region': 'West Virginia'}, {'percentage': '0.023896', 'region': 'Michigan'}, {'percentage': '0.016655', 'region': 'Maryland'}, {'percentage': '0.000724', 'region': 'Washington, District of Columbia'}, {'percentage': '0.005069', 'region': 'Connecticut'}, {'percentage': '0.005793', 'region': 'Wyoming'}, {'percentage': '0.001448', 'region': 'Rhode Island'}, {'percentage': '0.001448', 'region': 'Vermont'}, {'percentage': '0.000724', 'region': 'Montana'}, {'percentage': '0.009413', 'region': 'Utah'}, {'percentage': '0.041274', 'region': 'Alabama'}, {'percentage': '0.007965', 'region': 'Alaska'}, {'percentage': '0.01593', 'region': 'Arizona'}, {'percentage': '0.018103', 'region': 'Arkansas'}, {'percentage': '0.056481', 'region': 'California'}, {'percentage': '0.005069', 'region': 'Delaware'}, {'percentage': '0.004345', 'region': 'Maine'}, {'percentage': '0.034033', 'region': 'Florida'}, {'percentage': '0.026068', 'region': 'Georgia'}, {'percentage': '0.005069', 'region': 'Hawaii'}, {'percentage': '0.007241', 'region': 'Idaho'}, {'percentage': '0.032585', 'region': 'Illinois'}, {'percentage': '0.04924', 'region': 'Indiana'}, {'percentage': '0.01231', 'region': 'Iowa'}, {'percentage': '0.013034', 'region': 'Kansas'}, {'percentage': '0.03693', 'region': 'Kentucky'}, {'percentage': '0.038378', 'region': 'Louisiana'}, {'percentage': '0.016655', 'region': 'Wisconsin'}]",This is Revolution Podcast,,
377352676766271,293587294678559,Bienvenido,https://www.facebook.com/ads/archive/render_ad/?id=377352676766271&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['A MUST HEAR MESSAGE FOR YOU! Abraham Enriquez & Michael Seifert talk about politics, culture, & biblical values!']",['A Conversation with Michael Seifert and Abraham Enriquez'],['en'],2020-09-19,2020-09-20,"[{'percentage': '0.000331', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.006296', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.002651', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.016236', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.119947', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.001988', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.371438', 'age': '65+', 'gender': 'female'}, {'percentage': '0.053015', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.148443', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.002982', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.239894', 'age': '65+', 'gender': 'male'}, {'percentage': '0.022531', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.003976', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.003976', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.000331', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.00497', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.000994', 'age': '45-54', 'gender': 'unknown'}]","[{'percentage': '0.037281', 'region': 'Alabama'}, {'percentage': '0.018146', 'region': 'Pennsylvania'}, {'percentage': '0.007258', 'region': 'Nevada'}, {'percentage': '0.002639', 'region': 'New Hampshire'}, {'percentage': '0.018476', 'region': 'New Jersey'}, {'percentage': '0.006598', 'region': 'New Mexico'}, {'percentage': '0.038271', 'region': 'New York'}, {'percentage': '0.024744', 'region': 'North Carolina'}, {'percentage': '0.003299', 'region': 'North Dakota'}, {'percentage': '0.039591', 'region': 'Ohio'}, {'percentage': '0.020125', 'region': 'Oklahoma'}, {'percentage': '0.014187', 'region': 'Oregon'}, {'percentage': '0.00165', 'region': 'Rhode Island'}, {'percentage': '0.002969', 'region': 'Montana'}, {'percentage': '0.017486', 'region': 'South Carolina'}, {'percentage': '0.004619', 'region': 'South Dakota'}, {'percentage': '0.039591', 'region': 'Tennessee'}, {'percentage': '0.074233', 'region': 'Texas'}, {'percentage': '0.008908', 'region': 'Utah'}, {'percentage': '0.00099', 'region': 'Vermont'}, {'percentage': '0.028373', 'region': 'Virginia'}, {'percentage': '0.030683', 'region': 'Washington'}, {'percentage': '0.016166', 'region': 'West Virginia'}, {'percentage': '0.010228', 'region': 'Wisconsin'}, {'percentage': '0.009568', 'region': 'Nebraska'}, {'percentage': '0.031343', 'region': 'Missouri'}, {'percentage': '0.003299', 'region': 'Alaska'}, {'percentage': '0.010228', 'region': 'Idaho'}, {'percentage': '0.011217', 'region': 'Arizona'}, {'percentage': '0.026394', 'region': 'Arkansas'}, {'percentage': '0.092709', 'region': 'California'}, {'percentage': '0.008908', 'region': 'Colorado'}, {'percentage': '0.007258', 'region': 'Connecticut'}, {'percentage': '0.002639', 'region': 'Delaware'}, {'percentage': '0.00033', 'region': 'Washington, District of Columbia'}, {'percentage': '0.055097', 'region': 'Florida'}, {'percentage': '0.025734', 'region': 'Georgia'}, {'percentage': '0.003299', 'region': 'Hawaii'}, {'percentage': '0.027384', 'region': 'Illinois'}, {'percentage': '0.024414', 'region': 'Mississippi'}, {'percentage': '0.032992', 'region': 'Indiana'}, {'percentage': '0.011547', 'region': 'Iowa'}, {'percentage': '0.011217', 'region': 'Kansas'}, {'percentage': '0.032003', 'region': 'Kentucky'}, {'percentage': '0.032992', 'region': 'Louisiana'}, {'percentage': '0.006269', 'region': 'Maine'}, {'percentage': '0.012537', 'region': 'Maryland'}, {'percentage': '0.009568', 'region': 'Massachusetts'}, {'percentage': '0.028703', 'region': 'Michigan'}, {'percentage': '0.011547', 'region': 'Minnesota'}, {'percentage': '0.004289', 'region': 'Wyoming'}]","Bienvenido, USA",['www.bienvenido.us'],
767906237303839,116015728417129,Michelle Mortensen,https://www.facebook.com/ads/archive/render_ad/?id=767906237303839&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['ICYMI: The Michelle Mortensen Show.\nToday\'s topics:\n1) Protestors Shouting ""I Hope You Die"" outside the hospital where 2 cops were getting life saving surgery after an ambush in CA.\n2) Trump in Nevada and how the Governor Responded.\n3) The COVID Vaccine \n4) A Big change to #MNF\nWatch Now!']",['The Michelle Mortensen Show'],['en'],2020-09-14,2020-09-16,"[{'percentage': '0.002876', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.001438', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001438', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.159597', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.061107', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.025881', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.166786', 'age': '65+', 'gender': 'female'}, {'percentage': '0.010065', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.143781', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.011503', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.068296', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.117901', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.132279', 'age': '65+', 'gender': 'male'}, {'percentage': '0.092739', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.003595', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.000719', 'age': '55-64', 'gender': 'unknown'}]","[{'percentage': '1', 'region': 'Nevada'}]",Committee to Elect Michelle Mortensen,,
1404313886434104,116015728417129,Michelle Mortensen,https://www.facebook.com/ads/archive/render_ad/?id=1404313886434104&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"['ICYMI: The Michelle Mortensen Show.\nToday\'s topics:\n1) Protestors Shouting ""I Hope You Die"" outside the hospital where 2 cops were getting life saving surgery after an ambush in CA.\n2) Trump in Nevada and how the Governor Responded.\n3) The COVID Vaccine \n4) A Big change to #MNF\nWatch Now!']",['The Michelle Mortensen Show'],['en'],2020-09-14,2020-09-14,,,Committee to Elect Michelle Mortensen,,
819435755255174,1639380939623295,The Jim Price Show,https://www.facebook.com/ads/archive/render_ad/?id=819435755255174&access_token=EAARbSfSa27ABOZCZCAvwed3aJq1f5kHBbmzJDPZCG669Yy0QhRIXOfY1byVTWZAItjMC5xhNX68us994kIuK7qyHGgOd8eOF8q1mCe65VzObE7fY0XD5JiJxcAfoXcAzb4TCvuQNPZA5V8P1gaPanlKdFcW9yXJU4n0ro6DbykOlOfrPMG84nBSdSgCBky7ZCr4KK5UzBa,"[""This content was removed because it didn't follow our Advertising Standards.""]","[""This content was removed because it didn't follow our Advertising Standards.""]",['en'],2020-07-21,2020-07-25,"[{'percentage': '0.001396', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.021776', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.001954', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.128141', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.178392', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.127582', 'age': '65+', 'gender': 'male'}, {'percentage': '0.090452', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.095477', 'age': '65+', 'gender': 'female'}, {'percentage': '0.198213', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.000279', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.046622', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.059743', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.009492', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.000838', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000838', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.009213', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.029592', 'age': '35-44', 'gender': 'female'}]","[{'percentage': '0.005585', 'region': 'Utah'}, {'percentage': '0.041329', 'region': 'Ohio'}, {'percentage': '0.03714', 'region': 'Missouri'}, {'percentage': '0.003351', 'region': 'Montana'}, {'percentage': '0.008657', 'region': 'Nebraska'}, {'percentage': '0.009215', 'region': 'Nevada'}, {'percentage': '0.001676', 'region': 'New Hampshire'}, {'percentage': '0.012287', 'region': 'New Jersey'}, {'percentage': '0.008936', 'region': 'New Mexico'}, {'percentage': '0.039654', 'region': 'New York'}, {'percentage': '0.024295', 'region': 'North Carolina'}, {'percentage': '0.002234', 'region': 'North Dakota'}, {'percentage': '0.019268', 'region': 'Oklahoma'}, {'percentage': '0.006144', 'region': 'Minnesota'}, {'percentage': '0.012287', 'region': 'Oregon'}, {'percentage': '0.026529', 'region': 'Pennsylvania'}, {'percentage': '0.001396', 'region': 'Rhode Island'}, {'percentage': '0.018151', 'region': 'South Carolina'}, {'percentage': '0.002793', 'region': 'South Dakota'}, {'percentage': '0.026808', 'region': 'Tennessee'}, {'percentage': '0.110584', 'region': 'Texas'}, {'percentage': '0.01871', 'region': 'Virginia'}, {'percentage': '0.0148', 'region': 'Washington'}, {'percentage': '0.009495', 'region': 'West Virginia'}, {'percentage': '0.020665', 'region': 'Mississippi'}, {'percentage': '0.028763', 'region': 'Michigan'}, {'percentage': '0.002234', 'region': 'Vermont'}, {'percentage': '0.068417', 'region': 'Florida'}, {'percentage': '0.000279', 'region': 'Washington, District of Columbia'}, {'percentage': '0.002234', 'region': 'Wyoming'}, {'percentage': '0.023457', 'region': 'Alabama'}, {'percentage': '0.001676', 'region': 'Alaska'}, {'percentage': '0.017593', 'region': 'Arizona'}, {'percentage': '0.020385', 'region': 'Arkansas'}, {'percentage': '0.121474', 'region': 'California'}, {'percentage': '0.008098', 'region': 'Colorado'}, {'percentage': '0.006981', 'region': 'Connecticut'}, {'percentage': '0.001396', 'region': 'Delaware'}, {'percentage': '0.028204', 'region': 'Georgia'}, {'percentage': '0.006981', 'region': 'Massachusetts'}, {'percentage': '0.001955', 'region': 'Hawaii'}, {'percentage': '0.006144', 'region': 'Idaho'}, {'percentage': '0.022619', 'region': 'Illinois'}, {'percentage': '0.024016', 'region': 'Indiana'}, {'percentage': '0.005585', 'region': 'Iowa'}, {'percentage': '0.060039', 'region': 'Kansas'}, {'percentage': '0.017034', 'region': 'Kentucky'}, {'percentage': '0.020665', 'region': 'Louisiana'}, {'percentage': '0.002234', 'region': 'Maine'}, {'percentage': '0.010332', 'region': 'Maryland'}, {'percentage': '0.009215', 'region': 'Wisconsin'}]",,"[""This content was removed because it didn't follow our Advertising Standards.""]","[""This content was removed because it didn't follow our Advertising Standards.""]"
